year,level_1,level_2,level_3,level_4,value
2015,Total,Services- Professional Services,"Total","Private Chartered Bus/Van Only",2.4
2015,Total,Services- Professional Services,"Total","Lorry/Pickup Only",1.6
2015,Total,Services- Professional Services,"Total","Motorcycle/Scooter Only",3.5
2015,Total,Services- Professional Services,"Total","Others",0.9
2015,Total,Services- Professional Services,"Total","No Transport Required",11.1
2015,Total,Services- Administrative & Support Services,"Total","Public Bus Only",29.1
2015,Total,Services- Administrative & Support Services,"Total","MRT Only",16
2015,Total,Services- Administrative & Support Services,"Total","MRT & Public Bus Only",29.5
2015,Total,Services- Administrative & Support Services,"Total","Other Combinations Of MRT Or Public Bus",3.4
2015,Total,Services- Administrative & Support Services,"Total","Taxi Only",0.4
2015,Total,Services- Administrative & Support Services,"Total","Car Only",12.5
2015,Total,Services- Administrative & Support Services,"Total","Private Chartered Bus/Van Only",2
2015,Total,Services- Administrative & Support Services,"Total","Lorry/Pickup Only",2.2
2015,Total,Services- Administrative & Support Services,"Total","Motorcycle/Scooter Only",4.7
2015,Total,Services- Administrative & Support Services,"Total","Others",3.5
2015,Total,Services- Administrative & Support Services,"Total","No Transport Required",8.3
2015,Total,Services- Public Administration & Education,"Total","Public Bus Only",51.3
2015,Total,Services- Public Administration & Education,"Total","MRT Only",29
2015,Total,Services- Public Administration & Education,"Total","MRT & Public Bus Only",88.4
2015,Total,Services- Public Administration & Education,"Total","Other Combinations Of MRT Or Public Bus",15.6
2015,Total,Services- Public Administration & Education,"Total","Taxi Only",3
2015,Total,Services- Public Administration & Education,"Total","Car Only",70.9
2015,Total,Services- Public Administration & Education,"Total","Private Chartered Bus/Van Only",2.4
2015,Total,Services- Public Administration & Education,"Total","Lorry/Pickup Only",0.3
2015,Total,Services- Public Administration & Education,"Total","Motorcycle/Scooter Only",9.8
2015,Total,Services- Public Administration & Education,"Total","Others",3.2
2015,Total,Services- Public Administration & Education,"Total","No Transport Required",16.9
2015,Total,Services- Health & Social Services,"Total","Public Bus Only",21.7
2015,Total,Services- Health & Social Services,"Total","MRT Only",15.6
2015,Total,Services- Health & Social Services,"Total","MRT & Public Bus Only",29.9
2015,Total,Services- Health & Social Services,"Total","Other Combinations Of MRT Or Public Bus",6.2
2015,Total,Services- Health & Social Services,"Total","Taxi Only",0.8
2015,Total,Services- Health & Social Services,"Total","Car Only",16.9
2015,Total,Services- Health & Social Services,"Total","Private Chartered Bus/Van Only",1.1
2015,Total,Services- Health & Social Services,"Total","Lorry/Pickup Only",0
2015,Total,Services- Health & Social Services,"Total","Motorcycle/Scooter Only",1.4
2015,Total,Services- Health & Social Services,"Total","Others",1
2015,Total,Services- Health & Social Services,"Total","No Transport Required",11.1
2015,Total,"Services- Arts, Entertainment & Recreation","Total","Public Bus Only",6.9
2015,Total,"Services- Arts, Entertainment & Recreation","Total","MRT Only",6.9
2015,Total,"Services- Arts, Entertainment & Recreation","Total","MRT & Public Bus Only",12.2
